epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,806.81,0.95118,0.8366,1.07164,0.94731,0.85619,0.93547,0.62083,1.23456,0.83568,1.1324,0.0006338,0.0006338,0.0006338
71,818.335,0.82326,0.65745,0.99586,0.94724,0.85497,0.93316,0.59999,1.30568,0.83319,1.16695,0.000614,0.000614,0.000614
72,830.12,0.72512,0.59484,0.95918,0.93683,0.83333,0.92917,0.6159,1.22484,0.81147,1.12969,0.0005942,0.0005942,0.0005942
73,841.85,0.76631,0.66732,0.96423,0.93683,0.83333,0.92917,0.6159,1.22484,0.81147,1.12969,0.0005744,0.0005744,0.0005744
74,853.51,0.74057,0.59115,0.93249,0.89905,0.85714,0.92674,0.65159,1.11824,0.79092,1.07213,0.0005546,0.0005546,0.0005546
75,865.285,0.79797,0.68092,0.95159,0.89178,0.85714,0.92416,0.65925,1.12128,0.79774,1.07396,0.0005348,0.0005348,0.0005348
76,876.93,0.87163,0.94936,1.08546,0.89619,0.85714,0.9242,0.6469,1.1395,0.7917,1.09089,0.000515,0.000515,0.000515
77,888.581,0.88643,0.75801,1.10595,0.89619,0.85714,0.9242,0.6469,1.1395,0.7917,1.09089,0.0004952,0.0004952,0.0004952
78,900.364,0.76465,0.72124,0.97559,0.88,0.87317,0.92519,0.61763,1.18467,0.78642,1.1197,0.0004754,0.0004754,0.0004754
79,912.015,0.70708,0.6701,0.97854,0.9109,0.85714,0.93102,0.63456,1.17803,0.78139,1.11611,0.0004556,0.0004556,0.0004556
80,923.819,0.77749,0.73499,1.00972,0.90824,0.88095,0.92611,0.64695,1.16461,0.79712,1.11456,0.0004358,0.0004358,0.0004358
81,935.642,0.7135,0.74042,0.9404,0.90824,0.88095,0.92611,0.64695,1.16461,0.79712,1.11456,0.000416,0.000416,0.000416
82,947.927,0.72216,0.61487,0.92891,0.92052,0.88095,0.92986,0.64914,1.15567,0.78639,1.10656,0.0003962,0.0003962,0.0003962
83,959.998,0.80404,0.65699,0.92451,0.87924,0.88095,0.94015,0.65458,1.12173,0.76266,1.09048,0.0003764,0.0003764,0.0003764
84,971.835,0.82259,0.85755,1.10635,0.8776,0.88095,0.94309,0.6638,1.08823,0.75164,1.0736,0.0003566,0.0003566,0.0003566
85,983.543,0.66062,0.57944,0.9326,0.8776,0.88095,0.94309,0.6638,1.08823,0.75164,1.0736,0.0003368,0.0003368,0.0003368
86,995.005,0.71779,0.54855,0.92236,0.90227,0.87927,0.94394,0.66044,1.0945,0.74395,1.07177,0.000317,0.000317,0.000317
87,1006.44,0.72671,0.60312,0.95863,0.9018,0.87472,0.95108,0.65016,1.10773,0.72502,1.07481,0.0002972,0.0002972,0.0002972
88,1017.64,0.67711,0.60418,0.90661,0.8523,0.92857,0.95276,0.64355,1.14063,0.71491,1.09264,0.0002774,0.0002774,0.0002774
89,1028.75,0.71992,0.70654,0.97501,0.8523,0.92857,0.95276,0.64355,1.14063,0.71491,1.09264,0.0002576,0.0002576,0.0002576
90,1040.4,0.71425,0.57949,0.95223,0.84862,0.93439,0.96124,0.64976,1.16005,0.70524,1.09746,0.0002378,0.0002378,0.0002378
91,1052.35,0.63564,1.00338,0.87596,0.93751,0.85714,0.96364,0.65621,1.15018,0.69561,1.08663,0.000218,0.000218,0.000218
92,1064.13,0.61836,1.01593,0.86474,0.94476,0.85714,0.9673,0.66371,1.11297,0.6818,1.06806,0.0001982,0.0001982,0.0001982
93,1075.6,0.86028,0.73584,1.01915,0.94476,0.85714,0.9673,0.66371,1.11297,0.6818,1.06806,0.0001784,0.0001784,0.0001784
94,1087.7,0.71163,0.71627,0.93998,0.97072,0.85714,0.96352,0.68284,1.09147,0.68721,1.0583,0.0001586,0.0001586,0.0001586
95,1099.13,0.54416,0.8374,0.89514,0.96596,0.85714,0.952,0.67265,1.08327,0.69628,1.05347,0.0001388,0.0001388,0.0001388
96,1110.87,0.63091,0.61196,0.85252,0.94857,0.87826,0.93596,0.67045,1.07605,0.70441,1.05091,0.000119,0.000119,0.000119
97,1122.07,0.68153,0.59799,0.85752,0.94857,0.87826,0.93596,0.67045,1.07605,0.70441,1.05091,9.92e-05,9.92e-05,9.92e-05
98,1132.97,0.59475,0.60421,0.8586,0.93847,0.88095,0.93096,0.67712,1.07472,0.71984,1.0535,7.94e-05,7.94e-05,7.94e-05
99,1143.73,0.55542,0.75624,0.8711,0.92762,0.88095,0.93354,0.67651,1.0719,0.71762,1.05299,5.96e-05,5.96e-05,5.96e-05
100,1155.58,0.70526,0.73192,0.97834,0.91696,0.90476,0.93769,0.67282,1.06777,0.70549,1.05018,3.98e-05,3.98e-05,3.98e-05
